dataset,method,optimizer,momentum,epoch,runs,loss_mean,loss_stddev,accuracy_mean,accuracy_stddev,seconds_per_epoch_mean,seconds_per_epoch_stddev,cumulative_seconds_mean,cumulative_seconds_stddev
LogReg_sample_dataset,plaintext,gd,0.0,1,2,0.6836835051,0.0,0.9966666667,0.0,4.8745000000000005e-06,1.849084232802822e-06,4.8745000000000005e-06,1.849084232802822e-06
LogReg_sample_dataset,plaintext,gd,0.0,2,2,0.6744039811,0.0,0.9966666667,0.0,4.243e-06,1.4241130573097065e-06,9.1175e-06,3.2731972901125283e-06
LogReg_sample_dataset,plaintext,gd,0.0,3,2,0.6653052032,0.0,0.9966666667,0.0,4.4435e-06,1.8490842328028214e-06,1.3561000000000001e-05,5.12228152291535e-06
LogReg_sample_dataset,plaintext,gd,0.0,4,2,0.6563837929,0.0,0.9966666667,0.0,4.278e-06,1.6008897526063435e-06,1.7839000000000003e-05,6.723171275521695e-06
LogReg_sample_dataset,plaintext,nag,0.1,1,2,0.6836835051,0.0,0.9966666667,0.0,3.722e-06,2.899137802864844e-07,3.722e-06,2.899137802864844e-07
LogReg_sample_dataset,plaintext,nag,0.1,2,2,0.6734816481,0.0,0.9966666667,0.0,3.507e-06,2.969848480983501e-07,7.229e-06,5.868986283848347e-07
LogReg_sample_dataset,plaintext,nag,0.1,3,2,0.6634072082,0.0,0.9966666667,0.0,3.3615e-06,2.1991020894901632e-07,1.05905e-05,8.068088373338517e-07
LogReg_sample_dataset,plaintext,nag,0.1,4,2,0.6535416738,0.0,0.9966666667,0.0,3.3814999999999997e-06,2.4819448019647824e-07,1.3972e-05,1.0550033175303302e-06
LogReg_sample_dataset,simulated_bootstrapping,gd,0.0,1,2,0.6836835051,0.0,0.9966666667,0.0,2.6712109825,0.40723404606132824,2.6712109825,0.40723404606132824
LogReg_sample_dataset,simulated_bootstrapping,gd,0.0,2,2,0.6744039811,0.0,0.9966666667,0.0,1.9187455465,0.6116277626050689,4.589956529,0.20439371654374094
LogReg_sample_dataset,simulated_bootstrapping,gd,0.0,3,2,0.6653052032,0.0,0.9966666667,0.0,1.858302514,0.6989538696979515,6.448259043,0.903347586241692
LogReg_sample_dataset,simulated_bootstrapping,gd,0.0,4,2,0.6563837929,0.0,0.9966666667,0.0,1.994323393,0.7829147601597519,8.442582436,1.6862623464014437
LogReg_sample_dataset,simulated_bootstrapping,nag,0.1,1,2,0.6836835051,0.0,0.9966666667,0.0,2.806569794,0.3271685948362693,2.806569794,0.3271685948362693
LogReg_sample_dataset,simulated_bootstrapping,nag,0.1,2,2,0.6734816481,0.0,0.9966666667,0.0,2.2582966145,0.24634775840743142,5.0648664085,0.0808208364288376
LogReg_sample_dataset,simulated_bootstrapping,nag,0.1,3,2,0.6634072082,0.0,0.9966666667,0.0,2.1465011455,0.3847884149030933,7.211367554,0.30396757847425515
LogReg_sample_dataset,simulated_bootstrapping,nag,0.1,4,2,0.6535416738,0.0,0.9966666667,0.0,2.208212531,0.42210262288696376,9.419580085,0.7260702013612196
