dataset,method,epoch,homomorphic_seconds,refresh_seconds,metric_decryption_seconds,paired_simulated_refresh_seconds,seconds_per_epoch,accuracy,loss,max_plaintext_model_error,refreshed,level_before_refresh,level_after_refresh,optimizer,momentum,sigmoid,nag_packing
LogReg_sample_dataset,plaintext,1,7.564e-06,0,0,0,7.564e-06,0.9966666667,0.6836835051,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,2,7.294e-06,0,0,0,7.294e-06,0.9966666667,0.6734816481,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,3,7.535e-06,0,0,0,7.535e-06,0.9966666667,0.6634072082,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,4,7.815e-06,0,0,0,7.815e-06,0.9966666667,0.6535416738,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,5,7.735e-06,0,0,0,7.735e-06,0.9966666667,0.64388897,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,6,5.581e-06,0,0,0,5.581e-06,0.9966666667,0.6344453953,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,7,5.38e-06,0,0,0,5.38e-06,0.9966666667,0.6252065406,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,8,5.27e-06,0,0,0,5.27e-06,0.9966666667,0.6161679759,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,9,5.51e-06,0,0,0,5.51e-06,0.9966666667,0.6073253207,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,10,6.072e-06,0,0,0,6.072e-06,0.9966666667,0.5986742527,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,11,3.126e-06,0,0,0,3.126e-06,0.9966666667,0.5902105109,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,12,3.126e-06,0,0,0,3.126e-06,0.9966666667,0.5819298976,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,13,3.126e-06,0,0,0,3.126e-06,0.9966666667,0.5738282801,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,14,3.126e-06,0,0,0,3.126e-06,0.9966666667,0.5659015919,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,15,3.116e-06,0,0,0,3.116e-06,0.9966666667,0.5581458345,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,16,3.126e-06,0,0,0,3.126e-06,0.9966666667,0.5505570779,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,17,3.116e-06,0,0,0,3.116e-06,0.9966666667,0.5431314621,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,18,3.126e-06,0,0,0,3.126e-06,0.9966666667,0.5358651971,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,19,3.116e-06,0,0,0,3.116e-06,0.9966666667,0.5287545643,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,plaintext,20,3.126e-06,0,0,0,3.126e-06,0.9966666667,0.521795916,0,0,0,0,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,1,1.363326999,0,0.026121519,0,1.363326999,0.9966666667,0.6836835051,2.217150075e-14,0,8,8,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,2,0.753641015,0,0.016182502,0,0.753641015,0.9966666667,0.6734816481,1.78745907e-14,0,18,18,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,3,0.75525749,1.853155151,0.015691125,0.024707838,2.608412641,0.9966666667,0.6634071512,5.949074599e-08,1,28,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,4,0.653891801,1.63728876,0.010694402,0.022670284,2.291180561,0.9966666667,0.6535414564,2.396649408e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,5,0.81918327,1.587552723,0.013395021,0.022506578,2.406735993,0.9966666667,0.6438888364,1.435264869e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,6,0.707356892,1.62068036,0.01527058,0.028773541,2.328037252,0.9966666667,0.6344454445,2.37648372e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,7,0.604170878,1.767892385,0.014725598,0.022110902,2.372063263,0.9966666667,0.6252064934,7.298643517e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,8,0.725735943,1.949154519,0.015623574,0.021067519,2.674890462,0.9966666667,0.6161679385,2.421071192e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,9,0.843403454,1.657648863,0.014428738,0.022453719,2.501052317,0.9966666667,0.6073251643,2.875484694e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,10,0.855974162,1.225641973,0.015719774,0.024160895,2.081616135,0.9966666667,0.5986744949,4.271036642e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,11,0.643818723,1.697248222,0.015240973,0.022377233,2.341066945,0.9966666667,0.5902104837,1.067195418e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,12,0.715441912,1.562926189,0.014308345,0.022333614,2.278368101,0.9966666667,0.5819299124,7.779463768e-08,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,13,0.740724394,1.618045601,0.014876577,0.021303831,2.358769995,0.9966666667,0.5738275992,8.073958253e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,14,0.800405421,1.618845969,0.014507336,0.025256806,2.41925139,0.9966666667,0.5659015551,2.598739433e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,15,0.806119737,1.83520644,0.014402817,0.023921835,2.641326177,0.9966666667,0.5581456543,2.23119513e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,16,0.685445905,1.625817013,0.015132437,0.024259591,2.311262918,0.9966666667,0.5505568941,3.125348904e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,17,0.754643337,1.677661806,0.010098816,0.022362073,2.432305143,0.9966666667,0.5431311241,4.253945815e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,18,0.720257696,1.586409503,0.014501171,0.022914113,2.306667199,0.9966666667,0.5358655813,4.842479669e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,19,0.725748662,1.881745936,0.01371597,0.02352655,2.607494598,0.9966666667,0.5287544293,1.720112662e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,20,0.670677881,1.70793774,0.01039303,0.022414632,2.378615621,0.9966666667,0.5217960552,1.848881795e-07,1,29,19,nag,0.1,cubic,packed
framingham,plaintext,1,9.188e-06,0,0,0,9.188e-06,0.6886227545,0.6923548382,0,0,0,0,nag,0.1,cubic,packed
