dataset,method,epoch,homomorphic_seconds,refresh_seconds,metric_decryption_seconds,paired_simulated_refresh_seconds,seconds_per_epoch,accuracy,loss,max_plaintext_model_error,refreshed,level_before_refresh,level_after_refresh,optimizer,momentum,sigmoid,nag_packing
LogReg_sample_dataset,plaintext,1,5.47e-06,0,0,0,5.47e-06,0.9966666667,0.6836835051,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,2,5.039e-06,0,0,0,5.039e-06,0.9966666667,0.6734816481,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,3,4.779e-06,0,0,0,4.779e-06,0.9966666667,0.6634072082,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,4,4.789e-06,0,0,0,4.789e-06,0.9966666667,0.6535416738,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,5,4.789e-06,0,0,0,4.789e-06,0.9966666667,0.64388897,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,6,4.789e-06,0,0,0,4.789e-06,0.9966666667,0.6344453953,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,7,4.789e-06,0,0,0,4.789e-06,0.9966666667,0.6252065406,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,8,4.79e-06,0,0,0,4.79e-06,0.9966666667,0.6161679759,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,9,4.789e-06,0,0,0,4.789e-06,0.9966666667,0.6073253207,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,10,4.879e-06,0,0,0,4.879e-06,0.9966666667,0.5986742527,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,11,4.789e-06,0,0,0,4.789e-06,0.9966666667,0.5902105109,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,12,4.789e-06,0,0,0,4.789e-06,0.9966666667,0.5819298976,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,13,4.779e-06,0,0,0,4.779e-06,0.9966666667,0.5738282801,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,14,4.789e-06,0,0,0,4.789e-06,0.9966666667,0.5659015919,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,15,4.79e-06,0,0,0,4.79e-06,0.9966666667,0.5581458345,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,16,4.79e-06,0,0,0,4.79e-06,0.9966666667,0.5505570779,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,17,4.789e-06,0,0,0,4.789e-06,0.9966666667,0.5431314621,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,18,4.789e-06,0,0,0,4.789e-06,0.9966666667,0.5358651971,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,19,4.779e-06,0,0,0,4.779e-06,0.9966666667,0.5287545643,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,plaintext,20,4.789e-06,0,0,0,4.789e-06,0.9966666667,0.521795916,0,0,0,0,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,1,1.174943628,0,0.048639473,0,1.174943628,0.9966666667,0.6836835051,5.506608624e-14,0,6,6,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,2,1.007118096,0,0.039984681,0,1.007118096,0.9966666667,0.6734816481,3.303704966e-14,0,14,14,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,3,0.616196545,7.347410046,0.026314063,0.092545256,7.963606591,0.9966666667,0.663407023,4.763973323e-07,1,22,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,4,0.259019762,5.623466547,0.026562857,0.08517604,5.882486309,0.9966666667,0.6535416065,1.289798831e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,5,0.454462178,7.430039009,0.026527294,0.07820675,7.884501187,0.9966666667,0.6438884709,5.391599102e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,6,0.576353371,7.579575309,0.019321278,0.080862184,8.15592868,0.9966666667,0.6344454175,3.309645892e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,7,0.750300915,6.672791155,0.018832079,0.07581175,7.42309207,0.9966666667,0.6252064704,4.687254996e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,8,0.601738002,7.024465107,0.021868924,0.07747438,7.626203109,0.9966666667,0.6161677583,2.514135257e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,9,0.78556275,6.965995615,0.024782471,0.091009381,7.751558365,0.9966666667,0.6073250481,3.127536328e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,10,0.559083387,7.520361545,0.025927687,0.087633983,8.079444932,0.9966666667,0.5986743737,3.696746612e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,11,0.65920202,6.938782763,0.019777624,0.079547056,7.597984783,0.9966666667,0.5902104242,3.102674799e-07,1,27,19,nag,0.1,cubic,separate
